"","Well","Samples","Lake","Target","Concentration","Ch1+Ch2+","Ch1-Ch2+","Ch1+Ch2-","Ch1-Ch2-","logConc","log_AMR_tot","co_occur","Date","Sample","Fish_ID","Initials","Mass","Length","Fibrosis","Sex","Repro_State","Schisto_Free","Schisto_Cyst","Eust","Fib","Indv_AMR_mass","Indv_AMR_gene_mass","Lake_AMR","Lake_AMR_gene"
"50","B05","THE_2","THE","HEX",325,2046,1134,7985,2015,5.78689738136671,7.60589000105312,"floR & tap","23-06-2023","THE_2",2,"AKH",3.39,65.79,0,"M",3,0,0,0,"N",2.24362536904222,1.70704937503443,1.93630466450265,1.43769067943791
"51","B06","THE_3","THE","HEX",302,2075,712,7983,1531,5.71373280550937,7.74283595543075,"floR & tap","23-06-2023","THE_3",3,"AKH",4.13,71.67,0,"M",3,0,0,0,"N",1.87477868170236,1.38347041295626,1.93630466450265,1.43769067943791
"52","B07","TSI_1","TSI","HEX",794,5284,1381,6788,123,6.67834211465433,8.12710918534638,"floR & tap","27-06-2023","TSI_1",1,"GAC",1.45,47.17,0,"F",1,2,0,0,"N",5.60490288644578,4.60575318252023,2.80245144322289,2.30287659126011
"53","B08","TSI_2","TSI","HEX",492,3683,816,8494,180,6.20050917404269,8.16990264735914,"floR & tap","27-06-2023","TSI_2",2,"GAC",3.07,62,0,"M",3,0,0,0,"N",2.66120607405835,2.0197098286784,1.02005351682095,0.760860750930245
"54","B09","TSI_3","TSI","HEX",432,3922,358,9584,75,6.07073772800249,8.414717399827,"floR & tap","27-06-2023","TSI_3",3,"GAC",5.93,78.7,0,"M",3,0,0,0,"N",1.41900799322546,1.02373317504258,1.02005351682095,0.760860750930245
"55","C01","ROB_1","ROB","HEX",180,1637,341,11277,715,5.19849703126583,8.0774471493312,"floR & tap","15-06-2023","ROB_1",1,"AKH",0.74,37.73,0,"F",3,0,0,0,"N",10.9154691207178,7.02499598819706,4.56306364658242,3.29883145874574
"56","C02","ROB_2","ROB","HEX",549,5082,283,8991,29,6.30991827822652,8.52912176228151,"floR & tap","15-06-2023","ROB_2",2,"AKH",1.09,46.26,0,"F",3,0,0,0,"N",7.82488235071698,5.78891585158396,4.56306364658242,3.29883145874574
"57","C03","ROB_3","ROB","HEX",718,5913,423,7467,61,6.57786135772105,8.44870019497094,"floR & tap","15-06-2023","ROB_3",3,"AKH",0.64,39.38,0,"F",3,0,0,0,"N",13.2010940546421,10.2779083714391,4.56306364658242,3.29883145874574
"58","C08","ORM_2","ORM","HEX",0.17,0,2,1,13850,0.157003748809665,0.398776119957368,"floR & tap","11-06-2023","ORM_2",2,"AKH",1.14,47.6,0,"F",3,0,0,0,"N",0.349803613997691,0.137722586675144,0.349803613997691,0.0688612933375722
"59","C09","ORM_3","ORM","HEX",0,0,0,0,8589,0,0.425267735404344,"Neither","11-06-2023","ORM_3",3,"AKH",1.57,52.54,0,"M",3,0,0,0,"N",0.270871169047353,0,0.180580779364902,0.0683829085284741
"60","D01","LST_1","LST","HEX",0.08,1,0,1,15315,0.0769610411361284,0.385262400790645,"floR & tap","13-06-2023","LST_1",1,"AKH",1.51,35.74,0,"F",3,0,0,0,"N",0.255140662775262,0.0509675769113433,0.814058550822013,0.0169891923037811
"61","D02","LST_2","LST","HEX",0,0,0,5,15215,0,0.482426149244293,"floR","13-06-2023","LST_2",2,"AKH",0.98,43.78,0,"F",3,0,0,0,"N",0.492271580861523,0,0.814058550822013,0.0169891923037811
"62","D03","LST_3","LST","HEX",0,0,0,8,14989,0,0.542324290825362,"floR","13-06-2023","LST_3",3,"AKH",0.32,31.77,0,"F",3,0,0,1,"N",1.69476340882926,0,0.814058550822013,0.0169891923037811
"63","D04","FRY_1","FRY","HEX",0,0,0,4,15134,0,0.53062825106217,"floR","18-06-2023","FRY_1",1,"AKH",2.77,59.5,0,"F",3,0,0,2,"N",0.191562545509809,0,0.0884669244428334,0.00463062822720387
"64","D06","FRY_3","FRY","HEX",0,0,0,2,15522,0,0.27763173659828,"floR","18-06-2023","FRY_3",3,"AKH",3.76,66.09,0,"F",3,0,0,2,"N",0.0738382278186914,0,0.0884669244428334,0.00463062822720387
